IBOV - Carteira do Dia 23/10/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,519;
EMBR3;EMBRAER;ON      NM;734.632.705;0,659;
ENGI11;ENERGISA;UNT     N2;290.435.910;0,664;
ENEV3;ENEVA;ON      NM;1.578.931.315;0,878;
EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,524;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,717;
EZTC3;EZTEC;ON      NM;91.514.307;0,070;
FLRY3;FLEURY;ON      NM;345.269.967;0,265;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,213;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,335;
GOLL4;GOL;PN      N2;198.184.909;0,069;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,547;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,134;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,846;
HYPE3;HYPERA;ON      NM;409.490.388;0,698;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,211;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,168;
ITSA4;ITAUSA;PN  EJ  N1;5.197.306.576;2,296;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;6,544;
JBSS3;JBS;ON      NM;1.134.986.472;1,102;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,807;
RENT3;LOCALIZA;ON      NM;852.600.726;2,198;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,125;
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,588;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,223;
MRFG3;MARFRIG;ON      NM;292.587.273;0,094;
BEEF3;MINERVA;ON      NM;261.036.182;0,098;
MRVE3;MRV;ON      NM;376.187.582;0,155;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,327;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,028;
PETR3;PETROBRAS;ON      N2;2.585.311.860;5,334;
PETR4;PETROBRAS;PN      N2;4.566.445.852;8,738;
RECV3;PETRORECSA;ON      NM;274.957.807;0,301;
PRIO3;PETRORIO;ON      NM;798.274.909;2,006;
PETZ3;PETZ;ON      NM;329.077.188;0,063;
RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,664;
RAIZ4;RAIZEN;PN  ED  N2;1.193.671.389;0,216;
RDOR3;REDE D OR;ON  EJ  NM;1.168.230.366;1,380;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,329;
SBSP3;SABESP;ON      NM;340.001.799;1,022;
SANB11;SANTANDER BR;UNT EDJ;342.918.449;0,454;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,268;
CSNA3;SID NACIONAL;ON;600.865.451;0,331;
SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,187;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,897;
TAEE11;TAESA;UNT     N2;218.568.234;0,373;
VIVT3;TELEF BRASIL;ON;423.091.712;0,965;
TIMS3;TIM;ON      NM;807.896.814;0,620;
TOTS3;TOTVS;ON      NM;514.122.351;0,669;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,088;
USIM5;USIMINAS;PNA     N1;515.117.391;0,155;
VALE3;VALE;ON      NM;4.427.123.466;14,029;
VAMO3;VAMOS;ON      NM;421.383.330;0,171;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,103;
WEGE3;WEG;ON      NM;1.481.593.024;2,532;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,268;
Quantidade Teórica Total;;;98.476.454.882;100,000
Redutor;;;17.480.623,16864140
